ID,Devo_Day,Treatment,Treatment_Binary,Day in,Chamber_Humidty,Avg_Temp,before_mass,before_mass_mg,SA,after_mass,frass_mass,delta_mass,percent_mass_change,before_osmo,after_osmo,delta_osmo
D115,18,S,1,10/12/22,7-12%,37.9,3.18,3180,216.2476583,2.8,0.003,0.383,0.120440252,,,
D118,20,S,1,10/12/22,7-12%,37.9,6.63,6630,352.9195247,6.01,0.11,0.73,0.110105581,,,
D119,20,S,1,10/12/22,7-12%,37.9,5.68,5680,318.3456285,4.58,0.005,1.105,0.194542254,,,
D121,20,S,1,10/18/22,7-11%,,1.67,1670,140.7594779,1.47,0.005,0.205,0.122754491,,,
D124,19,S,1,10/18/22,7-11%,38.3,3.81,3810,243.9401672,3.38,0.08,0.51,0.133858268,,,
D125,20,S,1,10/18/22,7-11%,38.3,4.21,4210,260.7282345,3.32,0.003,0.893,0.212114014,,,
D135,20,S,1,10/24/22,7-11%,38.25,4.85,4850,286.5241013,4.09,0.013,0.773,0.159381443,,,
D136,18,S,1,10/24/22,7-11%,38.25,2.2,2200,169.1538112,2,0.013,0.213,0.096818182,,,
D139,20,S,1,10/24/22,7-11%,38.25,4.68,4680,279.7889566,4.15,0.05,0.58,0.123931624,,,
D142,20,S,1,10/26/22,9-16%,38.15,1.7,1700,142.4402129,1.26,0.009,0.449,0.264117647,,,
D143,20,S,1,10/26/22,9-16%,38.15,3.04,3040,209.8532611,2.73,0.025,0.335,0.110197368,,,
D148,18,S,1,10/26/22,9-16%,38.15,1.57,1570,135.0827111,1.41,0.013,0.173,0.110191083,,,
D149,20,S,1,10/26/22,9-16%,38.15,1.57,1570,135.0827111,1.43,0.0021,0.1421,0.090509554,,,
